City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,16.44,37,40,3.09,US,1684448778
1,plastun,44.7561,136.2939,14.52,47,0,1.31,RU,1684448966
2,la'ie,21.6477,-157.9253,27.98,88,100,5.52,US,1684448966
3,ushuaia,-54.8,-68.3,1.81,75,20,0.51,AR,1684448879
4,letlhakane,-21.4167,25.5833,19.73,38,100,0.89,BW,1684448722
5,punta arenas,-53.15,-70.9167,3.06,81,20,5.66,CL,1684448967
6,dudinka,69.4058,86.1778,2.57,100,100,8.1,RU,1684448967
7,suwayr,30.1171,40.3893,29.52,14,0,4.11,SA,1684448967
8,kabale,-1.2486,29.9899,13.67,95,64,1.22,UG,1684448967
9,san antonio de pale,-1.4014,5.6325,27.23,82,100,6.37,GQ,1684448872
10,grytviken,-54.2811,-36.5092,3.76,60,9,5.63,GS,1684448807
11,sirjan,29.452,55.6814,20.93,18,41,2.48,IR,1684448967
12,avarua,-21.2078,-159.775,26.03,69,20,4.63,CK,1684448766
13,vorgashor,67.5833,63.95,7.84,77,100,6.83,RU,1684448967
14,queenstown,-31.8976,26.8753,6.71,88,73,1.97,ZA,1684448963
15,port-aux-francais,-49.35,70.2167,6.54,87,44,14.67,TF,1684448968
16,cooper's town,26.8667,-77.5167,27.03,73,0,2.98,BS,1684448968
17,lihue,21.9789,-159.3672,22.77,90,100,4.63,US,1684448968
18,thompson,55.7435,-97.8558,17.09,39,20,4.63,CA,1684448789
19,newman,37.3138,-121.0208,34.02,31,9,3.13,US,1684448968
20,ola,59.5833,151.2833,6.19,98,100,3.37,RU,1684448968
21,knyaze-volkonskoye,48.4642,135.4567,12.19,67,1,1.13,RU,1684448968
22,tamanrasset,22.785,5.5228,28.95,13,40,2.57,DZ,1684448968
23,sitka,57.0531,-135.33,18.94,52,0,0.0,US,1684448799
24,isla vista,34.4133,-119.861,27.17,72,100,3.09,US,1684448725
25,ust-nera,64.5667,143.2,2.91,94,97,4.2,RU,1684448969
26,boguchany,58.3814,97.4531,1.23,88,18,1.68,RU,1684448969
27,i-n-salah,27.1935,2.4607,31.24,10,14,7.97,DZ,1684448800
28,puerto gaitan,4.3133,-72.0816,29.78,73,95,1.17,CO,1684448840
29,hamilton,39.1834,-84.5333,25.09,43,0,3.09,US,1684448817
30,iqaluit,63.7506,-68.5145,-1.15,68,100,4.12,CA,1684448969
31,paradip garh,20.3167,86.6167,27.99,90,11,5.88,IN,1684448969
32,adamstown,-25.066,-130.1015,24.5,75,22,5.74,PN,1684448773
33,new norfolk,-42.7826,147.0587,7.06,74,81,0.7,AU,1684448868
34,west island,-12.1568,96.8225,25.99,73,40,4.63,CC,1684448970
35,altay,47.8667,88.1167,8.66,35,99,3.37,CN,1684448970
36,saipan,15.1355,145.701,28.69,100,20,6.17,MP,1684448970
37,dzilam gonzalez,21.2833,-88.9333,30.82,57,12,4.43,MX,1684448970
38,edinburgh of the seven seas,-37.0676,-12.3116,17.36,95,100,6.56,SH,1684448777
39,pijijiapan,15.7011,-93.23,33.98,54,94,3.52,MX,1684448970
40,tsiombe,-25.3,45.4833,17.95,91,28,1.2,MG,1684448970
41,isafjordur,66.0755,-23.124,6.4,95,100,1.62,IS,1684448971
42,kotli,33.5167,73.9167,19.65,52,0,2.19,PK,1684448971
43,georgetown,5.4112,100.3354,26.97,78,40,2.57,MY,1684448971
44,constantia,44.1833,28.65,13.38,83,0,5.75,RO,1684448703
45,alofi,-19.0595,-169.9187,26.94,74,75,6.69,NU,1684448971
46,remire-montjoly,4.9167,-52.2667,26.02,89,100,1.03,GF,1684448971
47,port mathurin,-19.6833,63.4167,25.62,79,8,5.95,MU,1684448857
48,waitangi,-43.9535,-176.5597,16.01,89,100,2.68,NZ,1684448961
49,kulhudhuffushi,6.6221,73.07,28.31,76,4,1.04,MV,1684448972
50,longjiang,47.3303,123.1836,14.99,21,81,2.46,CN,1684448972
51,fale old settlement,-9.3852,-171.2468,29.17,79,91,7.15,TK,1684448972
52,happy valley-goose bay,53.3168,-60.3315,8.17,42,75,5.66,CA,1684448898
53,kailua-kona,19.6406,-155.9956,27.98,79,40,4.12,US,1684448704
54,longyearbyen,78.2186,15.6401,-7.09,73,0,4.12,SJ,1684448773
55,whitehorse,60.7161,-135.0538,25.05,18,20,3.6,CA,1684448874
56,wailua homesteads,22.0669,-159.378,22.44,91,100,4.63,US,1684448788
57,sinabang,2.4803,96.3801,26.96,80,96,2.11,ID,1684448972
58,puerto ayora,-0.7393,-90.3518,29.98,89,87,4.47,EC,1684448775
59,ancud,-41.8697,-73.8203,11.19,82,81,7.97,CL,1684448973
60,kokopo,-4.352,152.2633,25.23,90,100,1.4,PG,1684448973
61,unai,-16.3575,-46.9061,21.39,35,0,1.35,BR,1684448973
62,utrik,11.2278,169.8474,27.34,80,66,7.34,MH,1684448973
63,flin flon,54.7682,-101.865,15.91,36,0,2.57,CA,1684448874
64,hailin,44.5833,129.4167,12.24,59,7,0.43,CN,1684448973
65,jackson,42.4165,-122.8345,32.44,24,20,4.63,US,1684448920
66,rio gallegos,-51.6226,-69.2181,5.03,56,20,6.17,AR,1684448973
67,tahara,34.6667,137.2667,20.97,2,100,5.96,JP,1684448974
68,blackmans bay,-43.0167,147.3167,5.85,93,84,2.66,AU,1684448809
69,krasnokamensk,50.0979,118.0369,13.09,24,100,5.46,RU,1684448974
70,balaghat,21.8,80.1833,31.23,26,26,2.35,IN,1684448974
71,ahar,38.4774,47.0699,11.33,84,26,0.64,IR,1684448974
72,manokwari,-0.8667,134.0833,26.6,79,100,2.38,ID,1684448974
73,klaksvik,62.2266,-6.589,9.51,81,63,11.34,FO,1684448946
74,bethel,41.3712,-73.414,16.47,44,0,5.66,US,1684448974
75,kirensk,57.7853,108.1119,5.0,72,100,3.98,RU,1684448974
76,geraldton,-28.7667,114.6,18.23,34,75,6.69,AU,1684448777
77,iskateley,67.6803,53.1512,10.03,88,100,7.01,RU,1684448924
78,mil'kovo,55.6078,37.7956,15.73,83,78,2.64,RU,1684448975
79,bilibino,68.0546,166.4372,4.17,73,85,0.62,RU,1684448975
80,invercargill,-46.4,168.35,7.78,91,98,0.92,NZ,1684448962
81,east stroudsburg,40.9995,-75.1813,19.89,40,5,0.45,US,1684448975
82,cockburn town,21.4612,-71.1419,27.68,77,7,5.41,TC,1684448975
83,ribeira grande,38.5167,-28.7,18.21,85,19,4.47,PT,1684448975
84,valdivia,-39.8142,-73.2459,13.05,91,91,2.65,CL,1684448975
85,tiksi,71.6872,128.8694,-8.12,89,54,2.98,RU,1684448775
86,ilulissat,69.2167,-51.1,3.01,75,20,3.6,GL,1684448782
87,racine,42.7495,-88.0751,22.94,43,0,4.63,US,1684448811
